2026-07-18 12:28:40,977 | INFO | __name__ | Logging test successful!
2026-07-18 12:29:51,725 | INFO | __name__ | Logging test successful!
2026-07-18 13:18:05,759 | INFO | __name__ | Initializing Ollama Provider...
2026-07-18 13:18:06,192 | INFO | __name__ | Model Loaded: qwen3:4b
2026-07-18 13:18:12,097 | INFO | __name__ | Generating response...
2026-07-18 13:18:25,531 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-07-18 13:18:37,659 | INFO | __name__ | Ollama health check passed.
2026-07-18 13:18:42,709 | INFO | __name__ | Generating response...
2026-07-18 13:18:45,357 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-07-18 21:42:12,641 | INFO | __name__ | Selected LLM Provider: ollama
2026-07-18 21:42:12,642 | INFO | __name__ | Initializing Ollama Provider...
2026-07-18 21:42:13,425 | INFO | __name__ | Model Loaded: qwen3:4b
2026-07-18 21:42:26,385 | INFO | __name__ | Generating response...
2026-07-18 21:42:41,272 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-07-18 21:42:58,184 | INFO | __name__ | Ollama health check passed.
2026-07-18 21:43:15,949 | INFO | __name__ | Generating response...
2026-07-18 21:43:19,162 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-07-18 21:48:19,956 | INFO | __name__ | Selected LLM Provider: ollama
2026-07-18 21:48:19,957 | INFO | __name__ | Initializing Ollama Provider...
2026-07-18 21:48:20,757 | INFO | __name__ | Model Loaded: qwen3:4b
2026-07-18 21:48:20,758 | INFO | __name__ | LLMService initialized with OllamaProvider
2026-07-18 21:49:15,625 | INFO | __name__ | Generating response...
2026-07-18 21:49:25,260 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-07-18 21:49:50,115 | INFO | __name__ | Ollama health check passed.
2026-07-18 21:50:01,228 | INFO | __name__ | Generating response...
